date,county,state,fips,cases,deaths,new_cases
2020-03-14,San Luis Obispo,California,6079.0,1,0,1.0
2020-03-15,San Luis Obispo,California,6079.0,2,0,1.0
2020-03-16,San Luis Obispo,California,6079.0,3,0,1.0
2020-03-17,San Luis Obispo,California,6079.0,6,0,3.0
2020-03-18,San Luis Obispo,California,6079.0,7,0,1.0
2020-03-19,San Luis Obispo,California,6079.0,13,0,6.0
2020-03-20,San Luis Obispo,California,6079.0,16,0,3.0
2020-03-21,San Luis Obispo,California,6079.0,27,0,11.0
2020-03-22,San Luis Obispo,California,6079.0,27,0,0.0
2020-03-23,San Luis Obispo,California,6079.0,33,0,6.0
2020-03-24,San Luis Obispo,California,6079.0,42,0,9.0
2020-03-25,San Luis Obispo,California,6079.0,46,0,4.0
2020-03-26,San Luis Obispo,California,6079.0,54,0,8.0
2020-03-27,San Luis Obispo,California,6079.0,59,0,5.0
2020-03-28,San Luis Obispo,California,6079.0,67,0,8.0
2020-03-29,San Luis Obispo,California,6079.0,71,0,4.0
2020-03-30,San Luis Obispo,California,6079.0,77,0,6.0
2020-03-31,San Luis Obispo,California,6079.0,80,0,3.0
2020-04-01,San Luis Obispo,California,6079.0,83,0,3.0
2020-04-02,San Luis Obispo,California,6079.0,89,0,6.0
2020-04-03,San Luis Obispo,California,6079.0,93,0,4.0
2020-04-04,San Luis Obispo,California,6079.0,93,1,0.0
2020-04-05,San Luis Obispo,California,6079.0,95,1,2.0
2020-04-06,San Luis Obispo,California,6079.0,95,1,0.0
2020-04-07,San Luis Obispo,California,6079.0,99,1,4.0
2020-04-08,San Luis Obispo,California,6079.0,102,1,3.0
2020-04-09,San Luis Obispo,California,6079.0,104,1,2.0
2020-04-10,San Luis Obispo,California,6079.0,107,1,3.0
2020-04-11,San Luis Obispo,California,6079.0,110,1,3.0
2020-04-12,San Luis Obispo,California,6079.0,114,1,4.0
2020-04-13,San Luis Obispo,California,6079.0,117,1,3.0
2020-04-14,San Luis Obispo,California,6079.0,120,1,3.0
2020-04-15,San Luis Obispo,California,6079.0,124,1,4.0
2020-04-16,San Luis Obispo,California,6079.0,125,1,1.0
2020-04-17,San Luis Obispo,California,6079.0,127,1,2.0
2020-04-18,San Luis Obispo,California,6079.0,131,1,4.0
2020-04-19,San Luis Obispo,California,6079.0,132,1,1.0
2020-04-20,San Luis Obispo,California,6079.0,132,1,0.0
2020-04-21,San Luis Obispo,California,6079.0,134,1,2.0
2020-04-22,San Luis Obispo,California,6079.0,142,1,8.0
2020-04-23,San Luis Obispo,California,6079.0,149,1,7.0
2020-04-24,San Luis Obispo,California,6079.0,163,1,14.0
2020-04-25,San Luis Obispo,California,6079.0,165,1,2.0
2020-04-26,San Luis Obispo,California,6079.0,166,1,1.0
2020-04-27,San Luis Obispo,California,6079.0,169,1,3.0
2020-04-28,San Luis Obispo,California,6079.0,173,1,4.0
2020-04-29,San Luis Obispo,California,6079.0,181,1,8.0
2020-04-30,San Luis Obispo,California,6079.0,184,1,3.0
2020-05-01,San Luis Obispo,California,6079.0,188,1,4.0
2020-05-02,San Luis Obispo,California,6079.0,196,1,8.0
2020-05-03,San Luis Obispo,California,6079.0,201,1,5.0
2020-05-04,San Luis Obispo,California,6079.0,202,1,1.0
2020-05-05,San Luis Obispo,California,6079.0,204,1,2.0
2020-05-06,San Luis Obispo,California,6079.0,208,1,4.0
2020-05-07,San Luis Obispo,California,6079.0,211,1,3.0
2020-05-08,San Luis Obispo,California,6079.0,212,1,1.0
2020-05-09,San Luis Obispo,California,6079.0,214,1,2.0
2020-05-10,San Luis Obispo,California,6079.0,220,1,6.0
2020-05-11,San Luis Obispo,California,6079.0,226,1,6.0
2020-05-12,San Luis Obispo,California,6079.0,227,1,1.0
2020-05-13,San Luis Obispo,California,6079.0,232,1,5.0
2020-05-14,San Luis Obispo,California,6079.0,237,1,5.0
